X, Y
0,68.73160954944888
1,67.29990474403246
2,65.45530851642161
3,63.613748107484305
4,62.003706527266566
5,60.748380443813524
6,59.871259796982834
7,59.32218831023318
8,59.00977344896592
9,58.83048275098714
10,58.690453522733385
11,58.51935652278417
12,58.27700313502795
13,57.953271732487
14,57.56272888943614
15,57.13585328816999
16,56.70898772820045
17,56.31544923166246
18,55.97933356330885
19,55.712579824802795
20,55.51509095027712
21,55.37707332844321
22,55.28250774411743
23,55.21285461666833
24,55.15044461117021
25,55.0809086321815
26,54.99458360526945
27,54.8868840049845
28,54.75776966614024
29,54.61060107600043
